species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,,Adelie,Gentoo,Chinstrap,,,Adelie,Gentoo,Chinstrap,,Adelie,Gentoo,Chinstrap
Adelie,39.1,18.7,181,3750,male,2007,,181.00,,,,,3750.00,#N/A,#N/A,,1528.81, , 
Adelie,39.5,17.4,186,3800,female,2007,,186.00,,,,,3800.00,#N/A,#N/A,,1560.25, , 
Adelie,40.3,18,195,3250,female,2007,,195.00,,,,,3250.00,#N/A,#N/A,,1624.09, , 
Adelie,NA,NA,NA,NA,NA,2007,,,,,,,NA,#N/A,#N/A,,, , 
Adelie,36.7,19.3,193,3450,female,2007,,193.00,,,,,3450.00,#N/A,#N/A,,1346.89, , 
Adelie,39.3,20.6,190,3650,male,2007,,190.00,,,,,3650.00,#N/A,#N/A,,1544.49, , 
Adelie,38.9,17.8,181,3625,female,2007,,181.00,,,,,3625.00,#N/A,#N/A,,1513.21, , 
Adelie,39.2,19.6,195,4675,male,2007,,195.00,,,,,4675.00,#N/A,#N/A,,1536.64, , 
Adelie,34.1,18.1,193,3475,NA,2007,,193.00,,,,,3475.00,#N/A,#N/A,,1162.81, , 
Adelie,42,20.2,190,4250,NA,2007,,190.00,,,,,4250.00,#N/A,#N/A,,1764, , 
Adelie,37.8,17.1,186,3300,NA,2007,,186.00,,,,,3300.00,#N/A,#N/A,,1428.84, , 
Adelie,37.8,17.3,180,3700,NA,2007,,180.00,,,,,3700.00,#N/A,#N/A,,1428.84, , 
Adelie,41.1,17.6,182,3200,female,2007,,182.00,,,,,3200.00,#N/A,#N/A,,1689.21, , 
Adelie,38.6,21.2,191,3800,male,2007,,191.00,,,,,3800.00,#N/A,#N/A,,1489.96, , 
Adelie,34.6,21.1,198,4400,male,2007,,198.00,,,,,4400.00,#N/A,#N/A,,1197.16, , 
Adelie,36.6,17.8,185,3700,female,2007,,185.00,,,,,3700.00,#N/A,#N/A,,1339.56, , 
Adelie,38.7,19,195,3450,female,2007,,195.00,,,,,3450.00,#N/A,#N/A,,1497.69, , 
Adelie,42.5,20.7,197,4500,male,2007,,197.00,,#N/A,,,4500.00,#N/A,#N/A,,1806.25, , 
Adelie,34.4,18.4,184,3325,female,2007,,184.00,,#N/A,,,3325.00,#N/A,#N/A,,1183.36, , 
Adelie,46,21.5,194,4200,male,2007,,194.00,,#N/A,,,4200.00,#N/A,#N/A,,2116, , 
Adelie,37.8,18.3,174,3400,female,2007,,174.00,,#N/A,,,3400.00,#N/A,#N/A,,1428.84, , 
Adelie,37.7,18.7,180,3600,male,2007,,180.00,,#N/A,,,3600.00,#N/A,#N/A,,1421.29, , 
Adelie,35.9,19.2,189,3800,female,2007,,189.00,,#N/A,,,3800.00,#N/A,#N/A,,1288.81, , 
Adelie,38.2,18.1,185,3950,male,2007,,185.00,,#N/A,,,3950.00,#N/A,#N/A,,1459.24, , 
Adelie,38.8,17.2,180,3800,male,2007,,180.00,,#N/A,,,3800.00,#N/A,#N/A,,1505.44, , 
Adelie,35.3,18.9,187,3800,female,2007,,187.00,,#N/A,,,3800.00,#N/A,#N/A,,1246.09, , 
Adelie,40.6,18.6,183,3550,male,2007,,183.00,,#N/A,,,3550.00,#N/A,#N/A,,1648.36, , 
Adelie,40.5,17.9,187,3200,female,2007,,187.00,,#N/A,,,3200.00,#N/A,#N/A,,1640.25, , 
Adelie,37.9,18.6,172,3150,female,2007,,172.00,,#N/A,,,3150.00,#N/A,#N/A,,1436.41, , 
Adelie,40.5,18.9,180,3950,male,2007,,180.00,,#N/A,,,3950.00,#N/A,#N/A,,1640.25, , 
Adelie,39.5,16.7,178,3250,female,2007,,178.00,,#N/A,,,3250.00,#N/A,#N/A,,1560.25, , 
Adelie,37.2,18.1,178,3900,male,2007,,178.00,,#N/A,,,3900.00,#N/A,#N/A,,1383.84, , 
Adelie,39.5,17.8,188,3300,female,2007,,188.00,,#N/A,,,3300.00,#N/A,#N/A,,1560.25, , 
Adelie,40.9,18.9,184,3900,male,2007,,184.00,,#N/A,,,3900.00,#N/A,#N/A,,1672.81, , 
